"Name";"AdmArea";"District";"Address";"FacilityArea";"PeriodOfPlacement";"ContractStatus";"ContractNumber";"NameOfBusinessEntity";"BeginDate";"EndDate";"CertificateNum";"CertificateIssueDate";"PrefectOrderNumber";"PrefectOrderDate";"UNOM";"PlacementAtStationaryObjects";"global_id";"geoData";"geodata_center";
"Ели, сосны, лапник на ул. Миклухо-Маклая, вл.55";"Юго-Западный административный округ";"район Коньково";"город Москва, улица Миклухо-Маклая, дом 55";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007619";"НЕРСЕСЯН СВЕТЛАНА ВИКТОРОВНА";"29.03.2021";"29.03.2026";"";"23.03.2021";"";"";"14340";"нет";"2716691259";"{coordinates=[37.534414, 55.640489], type=Point}";"";
"Ели, сосны, лапник на Мичуринский просп., д.8-29";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 8/29";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008468";"НЕРСЕСЯН СВЕТЛАНА ВИКТОРОВНА";"02.12.2021";"02.12.2026";"";"02.12.2021";"";"";"2116812";"нет";"2716691260";"{coordinates=[37.511964, 55.706623], type=Point}";"";
"Елочный базар на ул. Беломорская, д. 1";"Северный административный округ";"район Левобережный";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Левобережный, Беломорская улица, дом 1";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007656";"НЕРСЕСЯН СВЕТЛАНА ВИКТОРОВНА";"29.04.2021";"29.04.2026";"";"19.04.2021";"";"";"74129";"нет";"2716691261";"{coordinates=[37.470977, 55.863924], type=Point}";"";
"Ели, сосны, лапник на Зеленоград, пл. Юности";"Зеленоградский административный округ";"район Матушкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, площадь Юности, дом 5";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-009366";"ИП Орлов Игорь Серафимович";"11.10.2023";"11.10.2028";"";"11.10.2023";"";"";"30254";"нет";"2716691262";"{coordinates=[37.2089, 56.003172], type=Point}";"";
"Ели, сосны, лапник на Зеленоград, у корп.1104";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1104";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-010036";"ИП Орлов Игорь Серафимович";"20.05.2024";"20.05.2029";"";"20.05.2024";"";"";"3700448";"нет";"2716691263";"{coordinates=[37.188393, 55.994553], type=Point}";"";
"Елочный базар на 1-я Дубровская ул., вл.1-3";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, 1-я Дубровская улица, дом 3";"10";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-010316";"ПУХАРЕВ ВЛАДИСЛАВ ЮРЬЕВИЧ";"11.11.2024";"11.11.2029";"";"11.11.2024";"";"";"7264";"нет";"2716691264";"{coordinates=[37.669357, 55.727968], type=Point}";"";
"Елочный базар на Тишинская пл., д.6";"Центральный административный округ";"Пресненский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Тишинская площадь, дом 6";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-010318";"ПУХАРЕВ ВЛАДИСЛАВ ЮРЬЕВИЧ";"11.11.2024";"11.11.2029";"";"11.11.2024";"";"";"26015";"нет";"2716691265";"{coordinates=[37.584476, 55.77011], type=Point}";"";
"Елочный базар на Земляной Вал, дом 1";"Центральный административный округ";"Басманный район";"город Москва, улица Земляной Вал, дом 1, строение 2А";"16";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-010317";"ПУХАРЕВ ВЛАДИСЛАВ ЮРЬЕВИЧ";"11.11.2024";"11.11.2029";"";"11.11.2024";"";"";"4304999";"нет";"2716691266";"{coordinates=[37.657961, 55.76379676], type=Point}";"";
"Елочный базар на б-р Яна Райниса, вл. 29";"Северо-Западный административный округ";"район Южное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, бульвар Яна Райниса, дом 29";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008259";"ИМПЕКС";"19.10.2021";"19.10.2026";"";"19.10.2021";"";"";"21580";"нет";"2716691267";"{coordinates=[37.422151, 55.848734], type=Point}";"";
"Елочный базар на ул. Кашенкин луг, 6, к. 3";"Северо-Восточный административный округ";"район Марфино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, улица Кашёнкин Луг, дом 6, корпус 3";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007260";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"13.11.2020";"13.11.2025";"";"13.11.2020";"";"";"230449";"нет";"2716691268";"{coordinates=[37.598178, 55.825917], type=Point}";"";
"Елочный базар на ул.Шаболовка, вл.26-28";"Центральный административный округ";"район Якиманка";"город Москва, улица Шаболовка, дом 26, строение 1";"12";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008765";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"11.08.2022";"11.08.2027";"";"11.08.2022";"";"";"4300221";"нет";"2716691269";"{coordinates=[37.60946, 55.720453], type=Point}";"";
"Елочный базар на проспект Мира, 120";"Северо-Восточный административный округ";"Алексеевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 120";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007259";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"13.11.2020";"13.11.2025";"";"13.11.2020";"";"";"14526";"нет";"2716691270";"{coordinates=[37.63861, 55.811393], type=Point}";"";
"Елочный базар на ул. Бочкова, вл. 3";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Бочкова, дом 3";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008370";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"09.11.2021";"09.11.2026";"";"09.11.2021";"";"";"2740";"нет";"2716691271";"{coordinates=[37.635494, 55.810066], type=Point}";"";
"Ели, сосны, лапник на Коптевская, д. 8";"Северный административный округ";"район Коптево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Коптевская улица, дом 8";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007572";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"19.02.2021";"19.02.2026";"";"19.02.2021";"";"";"10849";"нет";"2716691272";"{coordinates=[37.517303, 55.827036], type=Point}";"";
"Елочный базар на Ленинградский пр., вл. 74, к. 6";"Северный административный округ";"район Аэропорт";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 74, корпус 6";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007600";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"10.03.2021";"10.03.2026";"";"11.03.2021";"";"";"12703";"нет";"2716691273";"{coordinates=[37.516302, 55.806283], type=Point}";"";
"Елочный базар на поселение Рязановское, п. Знамя Октября, вблизи д. 31с1";"Новомосковский административный округ";"поселение Рязановское";"Российская Федерация, город Москва, внутригородская территория поселение Рязановское, посёлок Знамя Октября, дом 31, строение 3";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-009944";"РУССКОЕ ПОЛЕ";"02.05.2024";"02.05.2029";"";"02.05.2024";"";"";"4401801";"нет";"2716691274";"{coordinates=[37.54298, 55.472784], type=Point}";"";
"Ели, сосны, лапник на Ломоносовский пр-т, 14-18";"Юго-Западный административный округ";"Гагаринский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ломоносовский проспект, дом 14";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007237";"АЛИЕВ АЛИМАМЕД ШАБАН ОГЛЫ";"10.11.2020";"10.11.2025";"";"10.11.2020";"";"";"13386";"нет";"2716691275";"{coordinates=[37.540931, 55.691484], type=Point}";"";
"Ели, сосны, лапник на Симферопольский бульвар, вл. 25";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Симферопольский бульвар, владение 25А";"24";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007360";"АЛИЕВ АЛИМАМЕД ШАБАН ОГЛЫ";"15.12.2020";"15.12.2025";"";"15.12.2020";"";"";"3802325";"нет";"2716691276";"{coordinates=[37.605793402, 55.649171304], type=Point}";"";
"Ели, сосны, лапник на ул. Ремизова, вл.15";"Юго-Западный административный округ";"район Котловка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, улица Ремизова, дом 15, корпус 1";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007620";"ОГАНЕСЯН САМВЕЛ ДАНИЛОВИЧ";"29.03.2021";"29.03.2026";"";"29.03.2021";"";"";"21750";"нет";"2716691277";"{coordinates=[37.604664, 55.674892], type=Point}";"";
"Елочный базар на Севастопольский проспект, вл. 3Б";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Севастопольский проспект, дом 3Б";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007934";"ОГАНЕСЯН САМВЕЛ ДАНИЛОВИЧ";"03.08.2021";"03.08.2026";"";"03.08.2021";"";"";"2107500";"нет";"2716691278";"{coordinates=[37.609081864, 55.692965126], type=Point}";"";
"Елочный базар на ул. Юных Ленинцев, 12";"Юго-Восточный административный округ";"район Текстильщики";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Юных Ленинцев, дом 12";"24";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008469";"ОГАНЕСЯН САМВЕЛ ДАНИЛОВИЧ";"09.12.2021";"09.12.2026";"";"02.12.2021";"";"";"2129788";"нет";"2716691279";"{coordinates=[37.740138, 55.699502], type=Point}";"";
"Ели, сосны, лапник на Мичуринский просп., д.36";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 36";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008467";"ОГАНЕСЯН САМВЕЛ ДАНИЛОВИЧ";"01.12.2021";"01.12.2026";"";"01.12.2021";"";"";"2116821";"нет";"2716691280";"{coordinates=[37.497798, 55.697644], type=Point}";"";
"Елочный базар на Мусы Джалиля ул., вл. 20";"Южный административный округ";"район Зябликово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, улица Мусы Джалиля, дом 20";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008463";"ХОДЖАЯН ВЛАДИМИР МИШИКОВИЧ";"01.12.2021";"01.12.2026";"";"20.12.2021";"";"";"2131515";"нет";"2716691281";"{coordinates=[37.74236083, 55.62313482], type=Point}";"";
"Зеленоград, район Крюково, у корп.1640 (пр. № 648)";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1640";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-006900";"УКА";"01.06.2020";"01.06.2025";"";"01.06.2020";"";"";"77031";"нет";"2716691282";"{coordinates=[37.160568, 55.976925], type=Point}";"";
"Ёлочный базар на Академическая площадь, дом 3";"Троицкий административный округ";"поселение Троицк";"город Москва, город Троицк, Академическая площадь, дом 3";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007317";"УКА";"08.12.2020";"08.12.2025";"";"09.12.2020";"";"";"440830";"нет";"2716691283";"{coordinates=[37.305418, 55.484806], type=Point}";"";
"Ели, сосны, лапник на Ореховый бульвар, вл. 22А";"Южный административный округ";"район Зябликово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Ореховый бульвар, дом 22А";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007675";"ЧИЖОВА НАДЕЖДА ВИКТОРОВНА";"26.04.2021";"26.04.2026";"";"26.04.2021";"";"";"3809200";"нет";"2716691284";"{coordinates=[37.731020278, 55.612613489], type=Point}";"";
"Елочный базар на Варшавское ш., вл.18, к.1";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 18, корпус 1";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007948";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"05.08.2021";"05.08.2026";"";"05.08.2021";"";"";"3265";"нет";"2716691285";"{coordinates=[37.620990872, 55.692399722], type=Point}";"";
"Ёлочный базар на п. Коммунарка у д. 14А";"Новомосковский административный округ";"поселение Сосенское";"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, посёлок Коммунарка, дом 14";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008521";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"20.12.2021";"20.12.2026";"";"20.12.2021";"";"";"442639";"нет";"2716691286";"{coordinates=[37.477804, 55.569808], type=Point}";"";
"Ёлочный базар на ул. Высотная, д. 9";"Новомосковский административный округ";"поселение Щербинка";"Российская Федерация, город Москва, город Щербинка, Высотная улица, дом 9";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008971";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"30.05.2023";"30.05.2028";"";"30.05.2023";"";"";"442223";"нет";"2716691287";"{coordinates=[37.56847, 55.507731], type=Point}";"";
"Ели, сосны, лапник на Ул.Керченская д.2 35";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Болотниковская улица, дом 35/2";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008497";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"13.12.2021";"13.12.2026";"";"13.12.2021";"";"";"2436";"нет";"2716691288";"{coordinates=[37.588085, 55.660041], type=Point}";"";
"Ёлочный базар на ул. Тёплый Стан д.10";"Юго-Западный административный округ";"район Тёплый Стан";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Тёплый Стан, дом 10";"24";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007621";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"29.03.2021";"29.03.2026";"";"29.03.2021";"";"";"2108179";"нет";"2716691289";"{coordinates=[37.485086, 55.628707], type=Point}";"";
"Елочный развал на Нахимовский 33-2";"Юго-Западный административный округ";"район Черёмушки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Нахимовский проспект, дом 33/2";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007238";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"10.11.2020";"10.11.2025";"";"10.11.2020";"";"";"68097";"нет";"2716691290";"{coordinates=[37.577367, 55.672546], type=Point}";"";
"Ёлочный базар на Ленинский проспект, вл. 127";"Юго-Западный административный округ";"район Тёплый Стан";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Ленинский проспект, дом 127";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-010387";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"09.12.2024";"09.12.2029";"";"09.12.2024";"";"";"68162";"нет";"2716691291";"{coordinates=[37.479232, 55.645597], type=Point}";"";
"Елочный базар на ул. Профсоюзная, вл.154";"Юго-Западный административный округ";"район Тёплый Стан";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 154";"22.5";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008797";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"12.12.2022";"12.12.2027";"";"12.12.2022";"";"";"2108311";"нет";"2716691292";"{coordinates=[37.50551, 55.62193], type=Point}";"";
"Елочный базар по ул.Профсоюзная, вл.109";"Юго-Западный административный округ";"район Коньково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, Профсоюзная улица, дом 109";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007566";"РАСУЛОВ КАМАЛ МУСАХАН ОГЛЫ";"17.02.2021";"17.02.2026";"";"17.02.2021";"";"";"2108196";"нет";"2716691293";"{coordinates=[37.520504, 55.633672], type=Point}";"";
"Елочный базар на г.о. Троицк, Сиреневый бульвар, вблизи д.2";"Троицкий административный округ";"поселение Троицк";"Российская Федерация, город Москва, город Троицк, Сиреневый бульвар, дом 2";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-009946";"НЕОТРЕЙД 2002";"02.05.2024";"02.05.2029";"";"02.05.2024";"";"";"4401239";"нет";"2716691294";"{coordinates=[37.297341, 55.468486], type=Point}";"";
"Ели, сосны, лапник на Ясеневая ул., вл. 30а";"Южный административный округ";"район Орехово-Борисово Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Ясеневая улица, дом 30А";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007676";"ТРОФИМОВА ЛЮДМИЛА МАКСИМИЛЬЯНОВНА";"26.04.2021";"26.04.2026";"";"26.04.2021";"";"";"2132736";"нет";"2716691295";"{coordinates=[37.739527704, 55.60469368], type=Point}";"";
"Елочный базар на Липецкая ул.,вл.7";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 7";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008495";"ТРОФИМОВА ЛЮДМИЛА МАКСИМИЛЬЯНОВНА";"08.12.2021";"08.12.2026";"";"08.12.2021";"";"";"2131580";"нет";"2716691296";"{coordinates=[37.68147, 55.58306], type=Point}";"";
"Елочный базар на Хорошевское шоссе, вл. 48-52";"Северный административный округ";"Хорошёвский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Хорошёвское шоссе, дом 48";"20";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007573";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"19.02.2021";"19.02.2026";"";"19.02.2021";"";"";"28094";"нет";"2716691302";"{coordinates=[37.533756, 55.776489], type=Point}";"";
"Елочный базар на ул. Шереметьевская, вл. 6, к. 1";"Северо-Восточный административный округ";"район Марьина Роща";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Шереметьевская улица, дом 6, корпус 1";"30";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008366";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"09.11.2021";"09.11.2026";"";"09.11.2021";"";"";"2306771";"нет";"2716691303";"{coordinates=[37.61637, 55.795754], type=Point}";"";
"Елочный базар на Верхняя Красносельская, вл. 15-17";"Центральный административный округ";"Красносельский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Верхняя Красносельская улица, дом 17";"9";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-008764";"БОГДАНОВА ЕЛЕНА ЛЕОНИДОВНА";"11.08.2022";"11.08.2027";"";"11.08.2022";"";"";"2114321";"нет";"2716691304";"{coordinates=[37.663108, 55.782944], type=Point}";"";
"Ели, сосны, лапник на ул.Знаменские Садки, д.1";"Юго-Западный административный округ";"район Северное Бутово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, улица Знаменские Садки, дом 1, корпус 1";"15";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007570";"МЕРИДИАН";"17.02.2021";"17.02.2026";"";"17.02.2021";"";"";"31527";"нет";"2716691305";"{coordinates=[37.575821, 55.571943], type=Point}";"";
"Елочные базар на ул.Братеевская, вл.39/12";"Южный административный округ";"район Братеево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Братеевская улица, дом 39/12";"16";"с 20 декабря по 31 декабря";"действующий";"НТО-02-05-007785";"МЕРИДИАН";"23.06.2021";"23.06.2026";"";"23.06.2021";"";"";"2757";"нет";"2716691306";"{coordinates=[37.771284, 55.639056], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 9, корпус 1";"Восточный административный округ";"район Преображенское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 9, корпус 1";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"28565";"да";"2716691307";"{coordinates=[37.723366879, 55.798275937], type=Point}";"";
"Елочный базар на город Москва, Хорошёвское шоссе, дом 70, корпус 1";"Северный административный округ";"Хорошёвский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Хорошёвское шоссе, дом 70, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"28109";"да";"2716691308";"{coordinates=[37.525435, 55.778287764], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Витебская улица, дом 3, корпус 1";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Витебская улица, дом 3, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"72054";"да";"2716691309";"{coordinates=[37.409681, 55.715031746], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Нахимовский проспект, дом 20А";"Юго-Западный административный округ";"район Котловка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Нахимовский проспект, дом 20А";"54";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2802882";"да";"2716691310";"{coordinates=[37.59136, 55.668485], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Покрышкина, дом 5";"Западный административный округ";"район Тропарёво-Никулино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Покрышкина, дом 5";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2119235";"да";"2716691311";"{coordinates=[37.469275743, 55.664387372], type=Point}";"";
"Елочный базар на город Москва, улица Исаковского, дом 33, корпус 1";"Северо-Западный административный округ";"район Строгино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Исаковского, дом 33, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"8925";"да";"2716691313";"{coordinates=[37.418134384, 55.805201766], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, 1-я Аэропортовская улица, дом 6";"Северный административный округ";"район Аэропорт";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, 1-я Аэропортовская улица, дом 6";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"1041";"да";"2716691314";"{coordinates=[37.536738776, 55.801363568], type=Point}";"";
"Елочный базар на город Москва, улица Богданова, дом 24";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Богданова, дом 24";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2269";"да";"2716691315";"{coordinates=[37.402812999, 55.656225], type=Point}";"";
"Елочный базар на город Москва, Череповецкая улица, дом 17";"Северо-Восточный административный округ";"район Лианозово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Череповецкая улица, дом 17";"22.5";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2300939";"да";"2716691316";"{coordinates=[37.585133736, 55.898907549], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 3, корпус 1";"Восточный административный округ";"район Преображенское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Большая Черкизовская улица, дом 3, корпус 1";"25";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"28535";"да";"2716691317";"{coordinates=[37.71707957, 55.797219405], type=Point}";"";
"Елочный базар на город Москва, Каширское шоссе, дом 61Г";"Южный административный округ";"район Орехово-Борисово Северное";"город Москва, Каширское шоссе, дом 61Г";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"5096058";"да";"2716691318";"{coordinates=[37.714082, 55.621253719], type=Point}";"";
"Елочный базар на город Москва, Севастопольский проспект, дом 28, корпус 2";"Юго-Западный административный округ";"район Черёмушки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Севастопольский проспект, дом 28, корпус 2";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2802773";"да";"2716691319";"{coordinates=[37.578357, 55.664660731], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Елецкая улица, дом 20А";"Южный административный округ";"район Орехово-Борисово Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Елецкая улица, дом 20А";"6";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2132746";"да";"2716691320";"{coordinates=[37.733596, 55.605744], type=Point}";"";
"Елочный базар на город Москва, Уральская улица, дом 4";"Восточный административный округ";"район Гольяново";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Уральская улица, дом 4";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"26810";"да";"2716691321";"{coordinates=[37.80084503, 55.81178244], type=Point}";"";
"Елочный базар на город Москва, город Зеленоград, корпус 1550";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1550";"25";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"3701592";"да";"2716691322";"{coordinates=[37.15304, 55.97807], type=Point}";"";
"Елочный базар на город Москва, Большая Академическая улица, дом 24, корпус 1";"Северный административный округ";"район Коптево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Большая Академическая улица, дом 24, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"257";"да";"2716691323";"{coordinates=[37.532811, 55.832631], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 4-й Вятский переулок, дом 21";"Северный административный округ";"Савёловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 4-й Вятский переулок, дом 21";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"5084";"да";"2716691324";"{coordinates=[37.574680527, 55.80038836], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 16, корпус 1";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 16, корпус 1";"28";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"29116";"да";"2716691325";"{coordinates=[37.609874164, 55.65382455], type=Point}";"";
